Disease	Case Count	Rate
Anthrax 	—	—
Arboviral diseases, Chikungunya virus disease 	156	0.05
Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive 	5	0.00
Arboviral diseases, Eastern equine encephalitis virus disease, Non-neuroinvasive 	—	—
Arboviral diseases, Jamestown Canyon  virus disease, Neuroinvasive 	58	0.02
Arboviral diseases, Jamestown Canyon  virus disease, Non-neuroinvasive 	17	0.01
Arboviral diseases, La Crosse  virus disease, Neuroinvasive 	63	0.02
Arboviral diseases, La Crosse  virus disease, Non-neuroinvasive 	—	—
Arboviral diseases, Powassan virus disease, Neuroinvasive 	33	0.01
Arboviral diseases, Powassan virus disease, Non-neuroinvasive 	1	0.00
Arboviral diseases, St. Louis encephalitis virus disease, Neuroinvasive 	6	0.00
Arboviral diseases, St. Louis encephalitis virus disease, Non-neuroinvasive 	5	0.00
Arboviral diseases, West Nile virus disease, Neuroinvasive 	1,425	0.44
Arboviral diseases, West Nile virus disease, Non-neuroinvasive 	672	0.21
Arboviral diseases, Western equine encephalitis virus disease, Neuroinvasive 	—	—
Arboviral diseases, Western equine encephalitis virus disease, Non-neuroinvasive 	—	—
Babesiosis, Total 	2,368	0.94
Babesiosis, Confirmed 	1,994	0.79
Babesiosis, Probable 	374	0.15
Botulism, Total 	177	0.05
Botulism, Foodborne 	19	0.01
Botulism, Infant *	137	3.48
Botulism, Other (wound & unspecified) 	21	0.01
Brucellosis 	140	0.04
Campylobacteriosis 	67,537	20.73
Chancroid 	7	0.00
Chlamydia trachomatis infection 	1,708,569	524.55
Cholera 	10	0.00
Coccidioidomycosis †	14,364	10.93
Cryptosporidiosis, Total 	11,414	3.50
Cryptosporidiosis, Confirmed 	8,043	2.47
Cryptosporidiosis, Probable 	3,371	1.03
Cyclosporiasis 	1,194	0.40
Dengue virus infections, Dengue §	437	0.13
Dengue virus infections, Dengue-like illness §	8	0.00
Dengue virus infections, Severe dengue §	9	0.00
Diphtheria 	—	—
Ehrlichiosis and Anaplasmosis, Anaplasma phagocytophilum infection 	5,762	1.83
Ehrlichiosis and Anaplasmosis, Ehrlichia chaffeensis infection 	1,642	0.52
Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection 	45	0.01
Ehrlichiosis and Anaplasmosis, Undetermined ehrlichiosis/anaplasmosis 	269	0.09
Giardiasis 	15,193	5.94
Gonorrhea 	555,608	170.58
Haemophilus influenzae, invasive disease, All ages, all serotypes 	5,548	1.70
Haemophilus influenzae, invasive disease, Age <5 years, Serotype b ¶	33	0.17
Haemophilus influenzae, invasive disease, Age <5 years, Non-b serotype ¶	189	0.95
Haemophilus influenzae, invasive disease, Age <5 years, Nontypeable ¶	200	1.00
Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype ¶	203	1.02
Hansen's disease 	94	0.03
Hantavirus infection, non-hantavirus pulmonary syndrome 	2	0.00
Hantavirus pulmonary syndrome 	33	0.01
Hemolytic uremic syndrome post-diarrheal 	338	0.11
Hepatitis, A, acute **	3,365	1.03
Hepatitis, B, acute **	3,409	1.05
Hepatitis, B, perinatal infection **,††	31	0.39
Hepatitis, C, acute **	4,225	1.36
Hepatitis, C, acute, Confirmed **	3,213	1.04
Hepatitis, C, acute, Probable **	1,012	0.33
Human immunodeficiency virus diagnoses 	33,938	10.42
Influenza-associated pediatric mortality §§	126	0.17
Invasive pneumococcal disease, All ages ¶¶	19,780	8.15
Invasive pneumococcal disease, All ages, Confirmed ¶¶	19,620	8.08
Invasive pneumococcal disease, All ages, Probable ¶¶	160	0.07
Invasive pneumococcal disease, Age <5 years ¶¶,¶	1,234	0.47
Invasive pneumococcal disease, Age <5 years, Confirmed ¶¶,¶	1,220	7.64
Invasive pneumococcal disease, Age <5 years, Probable ¶¶,¶	14	0.09
Legionellosis 	7,458	2.29
Leptospirosis 	72	0.03
Listeriosis 	887	0.27
Lyme disease, Total 	42,743	13.18
Lyme disease, Confirmed 	29,513	9.10
Lyme disease, Probable 	13,230	4.08
Malaria 	2,056	0.63
Measles, Total 	120	0.04
Measles, Indigenous 	99	0.03
Measles, Imported 	21	0.01
Meningococcal disease, All serogroups 	353	0.11
Meningococcal disease, Serogroups ACWY 	107	0.03
Meningococcal disease, Serogroup B 	90	0.03
Meningococcal disease, Other serogroups 	25	0.01
Meningococcal disease, Unknown serogroup 	131	0.04
Mumps 	6,109	1.88
Novel Influenza A virus infections 	66	0.02
Pertussis 	18,975	5.83
Plague 	5	0.00
Poliomyelitis, paralytic 	—	—
Poliovirus infection, nonparalytic 	—	—
Psittacosis 	5	0.00
Q fever, Total 	193	0.06
Q fever, Acute 	153	0.05
Q fever, Chronic 	40	0.01
Rabies, Animal 	4,423	1.36
Rabies, Human 	2	0.00
Rubella 	7	0.00
Rubella, congenital syndrome *	5	0.13
Salmonellosis 	54,285	16.67
Severe acute respiratory syndrome-associated coronavirus disease 	—	—
Shiga toxin-producing Escherichia coli ***	8,672	2.66
Shigellosis 	14,912	4.58
Smallpox 	—	—
Spotted fever rickettsiosis, Total 	6,248	1.93
Spotted fever rickettsiosis, Confirmed 	176	0.05
Spotted fever rickettsiosis, Probable 	6,072	1.88
Streptococcal toxic shock syndrome 	372	0.18
Syphilis, Total, all stages 	101,567	31.18
Syphilis, Congenital *	918	23.30
Syphilis, Primary and secondary 	30,644	9.41
Tetanus 	33	0.01
Toxic shock syndrome (other than Streptococcal) 	30	0.01
Trichinellosis 	15	0.00
Tuberculosis 	9,105	2.80
Tularemia 	239	0.07
Typhoid fever 	419	0.13
